hand;card_1_rank;card_2_rank;card_3_rank;card_4_rank;card_5_rank;sameSuit
STRAIGHT_FLUSH;R2;R3;R4;R5;ACE;TRUE
STRAIGHT_FLUSH;R2;R3;R4;R5;R6;TRUE
STRAIGHT_FLUSH;R3;R4;R5;R6;R7;TRUE
STRAIGHT_FLUSH;R4;R5;R6;R7;R8;TRUE
STRAIGHT_FLUSH;R5;R6;R7;R8;R9;TRUE
STRAIGHT_FLUSH;R6;R7;R8;R9;R10;TRUE
STRAIGHT_FLUSH;R7;R8;R9;R10;JACK;TRUE
STRAIGHT_FLUSH;R8;R9;R10;JACK;QUEEN;TRUE
STRAIGHT_FLUSH;R9;R10;JACK;QUEEN;KING;TRUE
STRAIGHT;R2;R3;R4;R5;ACE;FALSE
STRAIGHT;R2;R3;R4;R5;R6;FALSE
STRAIGHT;R3;R4;R5;R6;R7;FALSE
STRAIGHT;R4;R5;R6;R7;R8;FALSE
STRAIGHT;R5;R6;R7;R8;R9;FALSE
STRAIGHT;R6;R7;R8;R9;R10;FALSE
STRAIGHT;R7;R8;R9;R10;JACK;FALSE
STRAIGHT;R8;R9;R10;JACK;QUEEN;FALSE
STRAIGHT;R9;R10;JACK;QUEEN;KING;FALSE
STRAIGHT;R10;JACK;QUEEN;KING;ACE;FALSE
